City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,hamilton,39.1834,-84.5333,19.79,44,0,2.57,US,1682616917
210,kangding,30.0513,101.9603,8.71,95,97,2.22,CN,1682616917
211,ad dabbah,18.05,30.95,32.87,9,46,7.95,SD,1682616917
212,la'ie,21.6477,-157.9253,23.98,91,74,3.25,US,1682616918
213,tromso,69.6496,18.957,8.01,61,0,1.54,NO,1682616918
214,jagdalpur,19.0667,82.0333,27.78,44,49,3.68,IN,1682616918
215,harrisburg,40.2737,-76.8844,17.61,61,75,2.57,US,1682616909
216,klyuchi,52.2667,79.1667,16.34,47,100,4.3,RU,1682616919
217,xiongzhou,25.1167,114.3,20.17,95,87,1.03,CN,1682616919
218,tyrnyauz,43.3828,42.9183,9.29,85,63,2.86,RU,1682616919
219,tutayev,57.8853,39.5406,11.12,85,41,3.12,RU,1682616920
220,constantia,44.1833,28.65,9.38,59,99,8.63,RO,1682616845
221,gadzhiyevo,69.2551,33.3362,-0.39,88,36,6.8,RU,1682616920
222,shakhtersk,48.0625,38.5167,13.63,80,96,1.5,UA,1682616921
223,paradip garh,20.3167,86.6167,28.17,80,7,5.09,IN,1682616921
224,yakeshi,49.2833,120.7333,0.99,84,20,2.76,CN,1682616921
225,santa rosa,14.3122,121.1114,27.99,75,0,4.16,PH,1682616916
226,minas de marcona,-15.2119,-75.1103,22.0,61,7,6.26,PE,1682616922
227,luderitz,-26.6481,15.1594,15.86,75,2,4.51,,1682616922
228,sablayan,12.8346,120.769,27.54,75,3,2.84,PH,1682616923
229,bhamo,24.2667,97.2333,24.68,41,2,0.52,MM,1682616923
230,bosaso,11.2842,49.1816,30.32,62,77,0.9,SO,1682616923
231,zavetnoye,47.1194,43.8903,16.38,57,90,3.89,RU,1682616924
232,broken hill,-31.95,141.4333,18.36,38,69,4.68,AU,1682616688
233,gebeit,21.0667,36.3167,25.77,24,33,3.5,SD,1682616924
234,faya-largeau,17.9257,19.1043,33.8,10,93,4.44,TD,1682616924
235,barcelos,41.5388,-8.6151,28.29,66,87,2.27,PT,1682616925
236,asaita,11.5636,41.4394,31.44,47,46,8.0,ET,1682616925
237,corner brook,48.9667,-57.9484,12.09,69,49,2.67,CA,1682616925
238,amga,60.8953,131.9608,-5.18,99,98,0.78,RU,1682616926
239,bugana,7.9992,7.5836,27.33,65,89,3.57,NG,1682616926
240,malango,-2.9627,119.9001,20.53,99,100,0.73,ID,1682616927
241,ilfracombe,51.2093,-4.1134,13.25,92,100,3.13,GB,1682616927
242,sao miguel do araguaia,-13.275,-50.1628,31.28,47,2,1.1,BR,1682616928
243,humaita,-7.5061,-63.0208,30.48,69,91,0.7,BR,1682616928
